id,identifier,type_1,type_2
10001,deoxys-attack,psychic,
10002,deoxys-defense,psychic,
10003,deoxys-speed,psychic,
10004,wormadam-sandy,bug,ground
10005,wormadam-trash,bug,steel
10006,shaymin-sky,grass,flying
10007,giratina-origin,ghost,dragon
10008,rotom-heat,electric,fire
10009,rotom-wash,electric,water
10010,rotom-frost,electric,ice
10011,rotom-fan,electric,flying
10012,rotom-mow,electric,grass
10013,castform-sunny,fire,
10014,castform-rainy,water,
10015,castform-snowy,ice,
10016,basculin-blue-striped,water,
10017,darmanitan-zen,fire,psychic
10018,meloetta-pirouette,normal,fighting
10019,tornadus-therian,flying,
10020,thundurus-therian,electric,flying
10021,landorus-therian,ground,flying
10022,kyurem-black,dragon,ice
10023,kyurem-white,dragon,ice
10024,keldeo-resolute,water,fighting
10025,meowstic-female,psychic,
10026,aegislash-blade,steel,ghost
10027,pumpkaboo-small,ghost,grass
10028,pumpkaboo-large,ghost,grass
10029,pumpkaboo-super,ghost,grass
10030,gourgeist-small,ghost,grass
10031,gourgeist-large,ghost,grass
10032,gourgeist-super,ghost,grass
10033,venusaur-mega,grass,poison
10034,charizard-mega-x,fire,dragon
10035,charizard-mega-y,fire,flying
10036,blastoise-mega,water,
10037,alakazam-mega,psychic,
10038,gengar-mega,ghost,poison
10039,kangaskhan-mega,normal,
10040,pinsir-mega,bug,flying
10041,gyarados-mega,water,dark
10042,aerodactyl-mega,rock,flying
10043,mewtwo-mega-x,psychic,fighting
10044,mewtwo-mega-y,psychic,
10045,ampharos-mega,electric,dragon
10046,scizor-mega,bug,steel
10047,heracross-mega,bug,fighting
10048,houndoom-mega,dark,fire
10049,tyranitar-mega,rock,dark
10050,blaziken-mega,fire,fighting
10051,gardevoir-mega,psychic,fairy
10052,mawile-mega,steel,fairy
10053,aggron-mega,steel,
10054,medicham-mega,fighting,psychic
10055,manectric-mega,electric,
10056,banette-mega,ghost,
10057,absol-mega,dark,
10058,garchomp-mega,dragon,ground
10059,lucario-mega,fighting,steel
10060,abomasnow-mega,grass,ice
10061,floette-eternal,fairy,
10062,latias-mega,dragon,psychic
10063,latios-mega,dragon,psychic
10064,swampert-mega,water,ground
10065,sceptile-mega,grass,dragon
10066,sableye-mega,dark,ghost
10067,altaria-mega,dragon,fairy
10068,gallade-mega,psychic,fighting
10069,audino-mega,normal,fairy
10070,sharpedo-mega,water,dark
10071,slowbro-mega,water,psychic
10072,steelix-mega,steel,ground
10073,pidgeot-mega,normal,flying
10074,glalie-mega,ice,
10075,diancie-mega,rock,fairy
10076,metagross-mega,steel,psychic
10077,kyogre-primal,water,
10078,groudon-primal,ground,fire
10079,rayquaza-mega,dragon,flying
10080,pikachu-rock-star,electric,
10081,pikachu-belle,electric,
10082,pikachu-pop-star,electric,
10083,pikachu-phd,electric,
10084,pikachu-libre,electric,
10085,pikachu-cosplay,electric,
10086,hoopa-unbound,psychic,dark
10087,camerupt-mega,fire,ground
10088,lopunny-mega,normal,fighting
10089,salamence-mega,dragon,flying
10090,beedrill-mega,bug,poison
10091,rattata-alola,dark,normal
10092,raticate-alola,dark,normal
10093,raticate-totem-alola,dark,normal
10094,pikachu-original-cap,electric,
10095,pikachu-hoenn-cap,electric,
